142.52,114.28,126.26,152.39,144.66,85.77,125.67,102.87,103.86,114.50
108.98,136.10,121.75,108.52,115.19,112.91,136.93,101.75,112.48,88.32
53.15,119.53,123.89,90.64,152.98,75.89,106.95,102.13,137.73,136.42
109.21,113.83,87.62,65.00,98.80,109.24,131.47,130.89,97.98,99.74
84.29,76.61,70.68,146.38,95.45,96.93,80.07,122.09,72.59,101.60
87.46,114.01,95.43,81.56,105.42,114.87,107.38,112.26,92.87,98.49
92.08,98.56,89.17,70.27,109.67,97.68,72.25,115.58,87.22,107.08
121.09,108.67,129.59,80.44,114.33,91.82,87.97,94.02,99.55,107.16
81.88,124.65,115.64,74.20,136.81,145.24,130.40,102.28,83.84,127.83
97.65,131.30,110.31,126.22,113.38,120.63,106.22,142.97,108.63,114.32
